Id,Predicted
0,.sOinkRIsiGDhkasthvAnhmhlzWudnathfektDhbilfrAnhmhlRIsrcsignifikhtlI!.
1,.SemakAzintRhsintelhviZhnAndREdIOstEShnz.enrjIsrvishzRIlistEtAndventrkAphthl.
2,..bRitiSkhmp?UtrbRwnzlyksinkleRAnEkaRntHAvblUmdbhtkWiklIfEid.piRIhd_.
3,..HIsyz.htkhnditkaRnItisEDhtb?Uzikizhg?UnhvrsObyiGlijbyDhtRIlIEtiz.
4,.?etIvinetEtIsiksHIizkhnsedrdDhkhntRIzmOsdynAmikphlithkhlfig?r_.
5,.bhtDeRpap?hleRhtIgRUpslOI.DRkhztRAnzmeShnofhnWhslhgiSkamh_pRintiGmesI.hndmhSIInzkudhn.dhbhlkWOt.to.dhbhlkWOt.tUUIchDrtizfiShntlI.iRIh.
6,.DhpIphlzpaRtIkadREtmUvdinthkIpphsiShnzhneRIhzHAvphblikAdminhstREShninklUdiGHelT_ejhkEShn!WEbr_foRhnRIlEShnzhndAgRI.
7,..sIprvyzrztOltiDidhvIdidtSEvkamh@UWudbItRAntsritUhphziShnkamh+AthlOrsAlrIkamh@DhdidthnvalvphblikkantAkt.piRIhd.
8,.inhshpRhthnsithnt.h?UesdistRYrfyrdmhSIndhnWrniGSatshtUsmolhnydethfydbOtsDhthpROcDhkanmY@.
9,..mInylkamh@DI?EldAnmenIm?UnisiphlRevhn?UbanzHAzbinHhvriGrwtEtAndWhnETprsent.piRIhd_.
10,.OnlIhf?UzstEtsRiklyrhnimplEmhntkamphnsEShnfrlaktwtWrkrz.
11,..olsikstInAnhlhsinDhsrvEpRidikIstRoGrTrdkWRtrDhnDhslhghS.sekhnkWoRtr.piRIhd!.
12,.AndvEmEbIEbhlugethWEWiThlatmaRhDIUzphlblishtinDhnUUvrzWiTwt!diviG@hp!mhc@RIgw.
13,..WylnatRUliGwtDhtDI?UeskrensIkuddiklynOvrtym_mistrlipskI~hvselhmhn.sezHITiGksDhjuRIhstilwt.
14,._DhgWaRhdIh@HAzOnlIfiftIsevhngEtsbhtAtpIkwrz.dhzhnz~hvmoRplEnzmEbIanhgRwnd_.
15,.DhfrmseditdhzhnkamentanitstakRekhvhdEShnzoRrEtiGzesthmht.
16,.bikhzDhkhnsrvhntivpaRthtkhntROlzDhpyRlhdhnt.DhWinrhvDhtappaRtIpOstosObikhmzpRymthminhstr@.
17,.maRkitAkShnWhzisenshlIdDyjhstIhn.WenzdEHizRAli.
18,.isikstIHyfhndEthsikstIfyvHyfhndEshplyizthnsidrdkhmtRhbhl.piRIhd.
19,..pItrAfbeRIshkstIdzmistrkhniRinWaSiGthnAzhvyspRezhdhnt!.
20,..foRmhnsHIHAdshfrdnytsWitsfIrzAtWEtlos!.
